Suburb,Lattitude,Longtitude
Middle Park,-37.850510588235295,144.96229647058823
Mill Park,-37.66595953488372,145.0604565116279
Mitcham,-37.817067333333334,145.19823533333334
Monbulk,-37.87931,145.41288
Mont Albert,-37.81668852941176,145.10970882352942
Montmorency,-37.72184705882353,145.12614764705881
Montrose,-37.81018,145.35396
Moonee Ponds,-37.76586738255033,144.9191231543624
Moorabbin,-37.9398396875,145.04916328125
Mooroolbark,-37.78055333333334,145.31919666666667
Mordialloc,-38.00380055555556,145.0921888888889
Mount Evelyn,-37.79236,145.38206
Mount Waverley,-37.876061754385965,145.12915701754386
Mulgrave,-37.927932758620685,145.1773596551724
Murrumbeena,-37.895312804878046,145.07036524390244
Narre Warren,-38.023064285714284,145.30426571428572
New Gisborne,-37.45392,144.58864
Newport,-37.842898613138686,144.8787000729927
Niddrie,-37.73991548780488,144.88548658536584
Noble Park,-37.971181666666666,145.180685
North Melbourne,-37.801574074074075,144.95021493827159
North Warrandyte,-37.729595,145.22456499999998
Northcote,-37.77286260638298,145.00144436170214
Notting Hill,-37.90563,145.14765333333332
Nunawading,-37.8184095,145.175791
Oak Park,-37.717240476190476,144.91651253968254
Oakleigh,-37.90182829787234,145.09682021276595
Oakleigh East,-37.90498090909091,145.11677545454543
Oakleigh South,-37.92330948275862,145.09123086206898
Officer,-38.07054,145.42554
Ormond,-37.903831325301205,145.04193397590362
Pakenham,-38.079186666666665,145.45782333333332
Parkdale,-37.992905416666666,145.08184708333332
Parkville,-37.78674806451613,144.9545577419355
Pascoe Vale,-37.72439239766082,144.93869555555557
Plumpton,-37.71429,144.72492
Point Cook,-37.900604615384616,144.74267461538463
Port Melbourne,-37.83829928104575,144.93943908496732
Prahran,-37.85236699186992,144.9998506504065
Preston,-37.74041841004184,145.00475276150627
Princes Hill,-37.78291,144.967192
Reservoir,-37.7139839275766,145.00958576601673
Richmond,-37.820303307692306,145.00192403846154
Riddells Creek,-37.45709,144.68999
Ringwood,-37.8086815,145.2339275
Ringwood East,-37.811321666666664,145.24968166666667
Ringwood North,-37.796778,145.228214
Ripponlea,-37.87845888888889,144.99549777777779
Rockbank,-37.73289,144.66615
Rosanna,-37.73933360655737,145.06912754098363
Rowville,-37.923104,145.252445
Roxburgh Park,-37.626674666666666,144.92839733333332
Sandhurst,-38.0817,145.19654
Sandringham,-37.954046,145.01712880000002
Scoresby,-37.89144375,145.22554875
Seabrook,-37.87862666666667,144.75574666666668
Seaford,-38.10515857142857,145.13792857142857
Seaholme,-37.86421333333333,144.84386666666668
Seddon,-37.80630935483871,144.89113064516127
Silvan,-37.839839999999995,145.45027499999998
Skye,-38.098124999999996,145.20045
South Kingsville,-37.830296818181814,144.87044272727272
South Melbourne,-37.83529023529412,144.96079352941177
South Morang,-37.63643904761905,145.0838842857143
South Yarra,-37.83943371287128,144.99293198019802
Southbank,-37.82658219512195,144.96522097560975
Spotswood,-37.82824344827586,144.88003
Springvale,-37.944963333333334,145.15504333333334
Springvale South,-37.97600666666667,145.15347999999997
St Albans,-37.742147599999996,144.8025816
St Helena,-37.68955666666667,145.13071666666667
St Kilda,-37.86383104938272,144.98220037037038
Strathmore,-37.732352063492065,144.91623873015874
Strathmore Heights,-37.71349333333334,144.897195
Sunbury,-37.57729736842106,144.71961684210527
Sunshine,-37.78813,144.83702675675676
Sunshine North,-37.76877911764706,144.8360775
Sunshine West,-37.792359418604654,144.8092668604651
Surrey Hills,-37.82668088,145.09855984
Sydenham,-37.701572,144.762302
Tarneit,-37.847792,144.6737
Taylors Hill,-37.715199999999996,144.75037285714285
Taylors Lakes,-37.69953090909091,144.78862772727274
Templestowe,-37.75782473684211,145.14819684210525
Templestowe Lower,-37.765336847826084,145.11245739130433
The Basin,-37.8597175,145.3094875
Thomastown,-37.67974172413793,145.01268034482757
Thornbury,-37.75811712230216,145.0048896402878
Toorak,-37.8421589,145.0143795
Travancore,-37.781741,144.936368
Truganina,-37.840855999999995,144.718694
Tullamarine,-37.69925846153846,144.87868230769232
Upwey,-37.91732,145.33501
Vermont,-37.83678428571428,145.20012142857144
Vermont South,-37.85374846153846,145.1881469230769
Viewbank,-37.735501219512194,145.0898487804878
Wallan,-37.40853,144.97749
Wantirna,-37.85385083333333,145.23355416666666
Wantirna South,-37.87381,145.23262
Warrandyte,-37.743795999999996,145.21077
Waterways,-38.013459999999995,145.130475
Watsonia,-37.711600576923075,145.0818673076923
Watsonia North,-37.70007,145.08711499999998
Werribee,-37.893201,144.65836380000002
West Footscray,-37.79721685714286,144.87195466666665
West Melbourne,-37.808345483870966,144.9474293548387
Westmeadows,-37.67743357142857,144.88881571428573
Wheelers Hill,-37.90903769230769,145.18269653846153
Whittlesea,-37.51232,145.13282
Williams Landing,-37.85467,144.739765
Williamstown,-37.860093271028035,144.89300971962618
Williamstown North,-37.85594684210526,144.88107473684212
Windsor,-37.85537683333334,144.99581933333332
Wollert,-37.614132222222224,145.03256333333331
Wonga Park,-37.75912,145.28886
Wyndham Vale,-37.8823125,144.61491
Yallambie,-37.725966666666665,145.09547999999998
Yarra Glen,-37.65391,145.37389
Yarraville,-37.81675634146342,144.88447079268295
